year,expenditure_type,school,funding_category,amount
2013,Instructional,South_Newton_School_Corpnbsp_5995,Student Academic Achievement,5101355
2014,Instructional,South_Newton_School_Corpnbsp_5995,Student Academic Achievement,4886298
2015,Instructional,South_Newton_School_Corpnbsp_5995,Student Academic Achievement,4629167
2016,Instructional,South_Newton_School_Corpnbsp_5995,Student Academic Achievement,4980655
2006,Instructional,South_Newton_School_Corpnbsp_5995,Student Instructional Support,746317
2009,Instructional,South_Newton_School_Corpnbsp_5995,Student Instructional Support,881289
2013,Instructional,South_Newton_School_Corpnbsp_5995,Student Instructional Support,891982
2014,Instructional,South_Newton_School_Corpnbsp_5995,Student Instructional Support,882615
2015,Instructional,South_Newton_School_Corpnbsp_5995,Student Instructional Support,884348
2016,Instructional,South_Newton_School_Corpnbsp_5995,Student Instructional Support,892880
2006,Non-Instructional,South_Newton_School_Corpnbsp_5995,Overhead and Operational,2445551
2009,Non-Instructional,South_Newton_School_Corpnbsp_5995,Overhead and Operational,232
2013,Non-Instructional,South_Newton_School_Corpnbsp_5995,Overhead and Operational,3082814
2014,Non-Instructional,South_Newton_School_Corpnbsp_5995,Overhead and Operational,3264551
2015,Non-Instructional,South_Newton_School_Corpnbsp_5995,Overhead and Operational,3159477
2016,Non-Instructional,South_Newton_School_Corpnbsp_5995,Overhead and Operational,3178627
2006,Non-Instructional,South_Newton_School_Corpnbsp_5995,Non Operational,2176754
2009,Non-Instructional,South_Newton_School_Corpnbsp_5995,Non Operational,206
2013,Non-Instructional,South_Newton_School_Corpnbsp_5995,Non Operational,1977573
2014,Non-Instructional,South_Newton_School_Corpnbsp_5995,Non Operational,1951243
2015,Non-Instructional,South_Newton_School_Corpnbsp_5995,Non Operational,2020691
2016,Non-Instructional,South_Newton_School_Corpnbsp_5995,Non Operational,2114110
2006,Non-Instructional,South_Newton_School_Corpnbsp_5995,Not Categorized,0
2009,Non-Instructional,South_Newton_School_Corpnbsp_5995,Not Categorized,00
2013,Non-Instructional,South_Newton_School_Corpnbsp_5995,Not Categorized,0
2014,Non-Instructional,South_Newton_School_Corpnbsp_5995,Not Categorized,0
2015,Non-Instructional,South_Newton_School_Corpnbsp_5995,Not Categorized,0
2016,Non-Instructional,South_Newton_School_Corpnbsp_5995,Not Categorized,0
2006,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Academic Achievement,6897437
2009,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Academic Achievement,6869282
2013,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Academic Achievement,6348956
2014,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Academic Achievement,5778727
2015,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Academic Achievement,6041903
2016,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Academic Achievement,6172303
2006,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Instructional Support,1399099
2009,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Instructional Support,1096738
2013,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Instructional Support,968402
2014,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Instructional Support,899069
2015,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Instructional Support,1059458
2016,Instructional,South_Putnam_Community_Schoolsnbsp_6705,Student Instructional Support,1238940
2006,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Overhead and Operational,3094371
2009,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Overhead and Operational,190
2013,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Overhead and Operational,3026805
2014,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Overhead and Operational,2928962
2015,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Overhead and Operational,2963749
2016,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Overhead and Operational,3057608
2006,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Non Operational,4897245
2009,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Non Operational,301
2013,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Non Operational,3215377
2014,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Non Operational,3088490
2015,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Non Operational,3169685
2016,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Non Operational,3677931
2006,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Not Categorized,0
2009,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Not Categorized,00
2013,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Not Categorized,0
2014,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Not Categorized,0
2015,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Not Categorized,0
2016,Non-Instructional,South_Putnam_Community_Schoolsnbsp_6705,Not Categorized,0
2006,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Academic Achievement,6888038
2009,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Academic Achievement,7306173
2013,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Academic Achievement,6998334
2014,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Academic Achievement,7063838
2015,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Academic Achievement,7316459
2016,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Academic Achievement,7448160
2006,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Instructional Support,892384
2009,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Instructional Support,968997
2013,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Instructional Support,1008130
2014,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Instructional Support,1015697
2015,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Instructional Support,1073514
2016,Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Student Instructional Support,1141874
2006,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Overhead and Operational,2907670
2009,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Overhead and Operational,251
2013,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Overhead and Operational,3241757
2014,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Overhead and Operational,3127608
2015,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Overhead and Operational,3966161
2016,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Overhead and Operational,3156281
2006,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Non Operational,899048
2009,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Non Operational,78
2013,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Non Operational,1716866
2014,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Non Operational,1771044
2015,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Non Operational,1963712
2016,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Non Operational,1847274
2006,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Not Categorized,0
2009,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Not Categorized,00
2013,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Not Categorized,0
2014,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Not Categorized,0
2015,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Not Categorized,0
2016,Non-Instructional,South_Ripley_Com_Sch_Corpnbsp_6865,Not Categorized,0
2006,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Academic Achievement,7533572
2009,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Academic Achievement,7405472
2013,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Academic Achievement,7667749
2014,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Academic Achievement,7384912
2015,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Academic Achievement,6708171
2016,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Academic Achievement,6547830
2006,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Instructional Support,965200
2009,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Instructional Support,942526
2013,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Instructional Support,1047220
2014,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Instructional Support,1055168
2015,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Instructional Support,1056812
2016,Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Student Instructional Support,1075388
2006,Non-Instructional,South_Spencer_County_Sch_Corpnbsp_7445,Overhead and Operational,3048814
